overlapping_2hp_nz64_numiter1024;64;128;256;512;1024
1;4.201663733;17.2837286;158.1532986;593.9757884;2246.056087
2;2.262710094;9.824657917;63.00477862;312.8930411;1251.623039
3;1.711076975;6.687175989;44.34657145;226.07412;861.9839845
4;1.44038868;5.562571526;36.32621837;191.2514937;723.0593369
5;1.16055584;4.640658617;33.71054411;127.1898763;479.7784243
6;1.087481976;3.943213224;31.58809042;124.4886234;441.4203668
7;0.966058731;3.808296919;31.17127395;117.2383981;452.7630179
8;0.864643812;3.664135933;30.0689187;117.2037864;467.9204106
9;0.883353949;3.535729408;29.86569929;115.9635556;468.5998979
10;0.759549618;3.227406502;29.63339734;114.5308971;481.5347908
11;0.717422247;3.07892251;30.07361221;113.3093388;475.5276637
12;0.704499722;3.152034044;29.65612888;113.6161079;455.9896171
13;1.348139286;4.215853691;24.86742091;117.960299;455.50652
14;1.186402559;3.878791571;29.0634737;119.4073219;473.1132834
15;1.221121788;3.782699347;28.12712598;120.1318855;479.5815299
16;1.210110664;3.53303957;29.62880898;118.4761586;473.9011092
17;1.231753349;3.685522079;29.79592514;116.5189021;436.8268478
18;1.088112354;3.440310955;29.36777902;115.9457073;452.8134186
19;1.254402637;3.745661259;31.11191797;116.639637;439.8071606
20;1.028344631;3.397352219;29.97916365;114.8640184;449.5015481
21;0.975797892;3.479913473;30.00557208;114.8703682;448.2216733
22;0.989193439;3.382992506;30.43266845;115.1535535;444.6675184
23;1.146597862;3.987556696;31.96519184;117.4177516;438.9974322
24;1.064316988;3.194899797;20.58379984;115.8929279;450.8715312
