ranks nx ny nz num_iter time num_streams
###1, 128, 128, 1024, 64, 0.167746, 2
###1, 128, 128, 1024, 128, 0.324658, 2
###1, 128, 128, 1024, 256, 0.64111, 2
###1, 128, 128, 1024, 512, 1.27988, 2
###1, 128, 128, 1024, 1024, 2.53473, 2
###1, 128, 128, 2048, 32, 0.174825, 2
###1, 128, 128, 2048, 64, 0.331912, 2
###1, 128, 128, 2048, 128, 0.642819, 2
###1, 128, 128, 2048, 256, 1.27178, 2
###1, 128, 128, 2048, 512, 2.52534, 2
###1, 128, 128, 2048, 1024, 5.04637, 2
###1, 128, 128, 4096, 32, 0.364671, 2
###1, 128, 128, 4096, 64, 0.69893, 2
###1, 128, 128, 4096, 128, 1.36893, 2
###1, 128, 128, 4096, 256, 2.71532, 2
###1, 128, 128, 4096, 512, 5.38863, 2
###1, 128, 128, 4096, 1024, 10.7676, 2
###1, 128, 128, 8192, 32, 0.821404, 2
###1, 128, 128, 8192, 64, 1.58056, 2
###1, 128, 128, 8192, 128, 3.10571, 2
###1, 128, 128, 8192, 256, 6.15862, 2
###1, 128, 128, 8192, 512, 12.2379, 2
###1, 128, 128, 8192, 1024, 24.4638, 2
###1, 128, 128, 16384, 32, 1.73186, 2
###1, 128, 128, 16384, 64, 3.3476, 2
###1, 128, 128, 16384, 128, 6.57544, 2
###1, 128, 128, 16384, 256, 13.0544, 2
###1, 128, 128, 16384, 512, 25.9683, 2
###1, 128, 128, 16384, 1024, 51.9143, 2
###1, 128, 128, 32768, 32, 2.90335, 2
###1, 128, 128, 32768, 64, 5.56442, 2
###1, 128, 128, 32768, 128, 10.8561, 2
###1, 128, 128, 32768, 256, 21.7453, 2
###1, 128, 128, 32768, 512, 43.2755, 2
###1, 128, 128, 32768, 1024, 85.3341, 2
###1, 128, 128, 65536, 32, 2.46159, 2
###1, 128, 128, 65536, 64, 4.55015, 2
###1, 128, 128, 65536, 128, 8.73478, 2
###1, 128, 128, 65536, 256, 17.0646, 2
###1, 128, 128, 65536, 512, 35.166, 2
###1, 128, 128, 65536, 1024, 67.1069, 2
###1, 128, 128, 8, 32, 0.0015822, 4
###1, 128, 128, 8, 64, 0.00283536, 4
###1, 128, 128, 8, 128, 0.00530502, 4
###1, 128, 128, 8, 256, 0.0103132, 4
###1, 128, 128, 8, 512, 0.0201319, 4
###1, 128, 128, 8, 1024, 0.0399152, 4
###1, 128, 128, 16, 32, 0.00208365, 4
###1, 128, 128, 16, 64, 0.00374355, 4
###1, 128, 128, 16, 128, 0.00708946, 4
###1, 128, 128, 16, 256, 0.0139015, 4
###1, 128, 128, 16, 512, 0.0274632, 4
###1, 128, 128, 16, 1024, 0.0545087, 4
###1, 128, 128, 32, 32, 0.00307591, 4
###1, 128, 128, 32, 64, 0.00564226, 4
###1, 128, 128, 32, 128, 0.0110064, 4
###1, 128, 128, 32, 256, 0.0211626, 4
###1, 128, 128, 32, 512, 0.0417081, 4
###1, 128, 128, 32, 1024, 0.0826148, 4
###1, 128, 128, 64, 32, 0.00516992, 4
###1, 128, 128, 64, 64, 0.00949628, 4
###1, 128, 128, 64, 128, 0.0181085, 4
###1, 128, 128, 64, 256, 0.0356545, 4
###1, 128, 128, 64, 512, 0.0717087, 4
###1, 128, 128, 64, 1024, 0.141029, 4
###1, 128, 128, 128, 32, 0.00956548, 4
###1, 128, 128, 128, 64, 0.0182269, 4
###1, 128, 128, 128, 128, 0.035433, 4
###1, 128, 128, 128, 256, 0.0704013, 4
###1, 128, 128, 128, 512, 0.139998, 4
###1, 128, 128, 128, 1024, 0.27883, 4
###1, 128, 128, 256, 32, 0.0192839, 4
###1, 128, 128, 256, 64, 0.0368853, 4
###1, 128, 128, 256, 128, 0.069814, 4
###1, 128, 128, 256, 256, 0.140394, 4
###1, 128, 128, 256, 512, 0.273342, 4
###1, 128, 128, 256, 1024, 0.54575, 4
###1, 128, 128, 512, 32, 0.0379703, 4
###1, 128, 128, 512, 64, 0.0719789, 4
###1, 128, 128, 512, 128, 0.136446, 4
###1, 128, 128, 512, 256, 0.273746, 4
###1, 128, 128, 512, 512, 0.540603, 4
###1, 128, 128, 512, 1024, 1.07988, 4
###1, 128, 128, 1024, 32, 0.0759808, 4
###1, 128, 128, 1024, 64, 0.141606, 4
###1, 128, 128, 1024, 128, 0.269703, 4
###1, 128, 128, 1024, 256, 0.531044, 4
###1, 128, 128, 1024, 512, 1.07174, 4
###1, 128, 128, 1024, 1024, 2.08633, 4
###1, 128, 128, 2048, 32, 0.148965, 4
###1, 128, 128, 2048, 64, 0.27582, 4
###1, 128, 128, 2048, 128, 0.541756, 4
###1, 128, 128, 2048, 256, 1.0659, 4
###1, 128, 128, 2048, 512, 2.10462, 4
###1, 128, 128, 2048, 1024, 4.21261, 4
###1, 128, 128, 4096, 32, 0.288663, 4
###1, 128, 128, 4096, 64, 0.53757, 4
###1, 128, 128, 4096, 128, 1.0489, 4
###1, 128, 128, 4096, 256, 2.06866, 4
###1, 128, 128, 4096, 512, 4.17143, 4
###1, 128, 128, 4096, 1024, 8.2858, 4
###1, 128, 128, 8192, 32, 0.64056, 4
###1, 128, 128, 8192, 64, 1.19143, 4
###1, 128, 128, 8192, 128, 2.39003, 4
###1, 128, 128, 8192, 256, 4.72355, 4
###1, 128, 128, 8192, 512, 9.39284, 4
###1, 128, 128, 8192, 1024, 18.7302, 4
###1, 128, 128, 16384, 32, 1.52147, 4
###1, 128, 128, 16384, 64, 2.93401, 4
###1, 128, 128, 16384, 128, 5.9137, 4
###1, 128, 128, 16384, 256, 11.693, 4
###1, 128, 128, 16384, 512, 22.7055, 4
###1, 128, 128, 16384, 1024, 45.3389, 4
###1, 128, 128, 32768, 32, 2.78901, 4
