ranks, nx, ny, nz, num_iter, time, num_streams
###1, 128, 128, 32, 32, 0.00363907, 8
###1, 128, 128, 32, 32, 0.00419322, 16
###1, 128, 128, 32, 32, 0.005222, 32
###1, 128, 128, 32, 32, 0.00700935, 64
###1, 128, 128, 32, 32, 0.0102879, 128
###1, 128, 128, 32, 32, 0.0173239, 256
###1, 128, 128, 32, 64, 0.00846008, 1
###1, 128, 128, 32, 64, 0.00721186, 2
###1, 128, 128, 32, 64, 0.00666536, 4
###1, 128, 128, 32, 64, 0.0065805, 8
###1, 128, 128, 32, 64, 0.00764709, 16
###1, 128, 128, 32, 64, 0.00949643, 32
###1, 128, 128, 32, 64, 0.0127587, 64
###1, 128, 128, 32, 64, 0.0191138, 128
###1, 128, 128, 32, 64, 0.0317699, 256
###1, 128, 128, 32, 128, 0.0158181, 1
###1, 128, 128, 32, 128, 0.0138354, 2
###1, 128, 128, 32, 128, 0.0126006, 4
###1, 128, 128, 32, 128, 0.0124025, 8
###1, 128, 128, 32, 128, 0.0147129, 16
###1, 128, 128, 32, 128, 0.0181153, 32
###1, 128, 128, 32, 128, 0.0244973, 64
###1, 128, 128, 32, 128, 0.0369215, 128
###1, 128, 128, 32, 128, 0.0610801, 256
###1, 128, 128, 32, 256, 0.0319801, 1
###1, 128, 128, 32, 256, 0.0270208, 2
###1, 128, 128, 32, 256, 0.0247637, 4
###1, 128, 128, 32, 256, 0.0241558, 8
###1, 128, 128, 32, 256, 0.0285442, 16
###1, 128, 128, 32, 256, 0.0352468, 32
###1, 128, 128, 32, 256, 0.0478146, 64
###1, 128, 128, 32, 256, 0.071742, 128
###1, 128, 128, 32, 256, 0.121465, 256
###1, 128, 128, 32, 512, 0.0613796, 1
###1, 128, 128, 32, 512, 0.0534992, 2
###1, 128, 128, 32, 512, 0.0482326, 4
###1, 128, 128, 32, 512, 0.047496, 8
###1, 128, 128, 32, 512, 0.0559224, 16
###1, 128, 128, 32, 512, 0.069755, 32
###1, 128, 128, 32, 512, 0.0944689, 64
###1, 128, 128, 32, 512, 0.142043, 128
###1, 128, 128, 32, 512, 0.240782, 256
###1, 128, 128, 32, 1024, 0.12555, 1
###1, 128, 128, 32, 1024, 0.10593, 2
###1, 128, 128, 32, 1024, 0.0971295, 4
###1, 128, 128, 32, 1024, 0.0929481, 8
###1, 128, 128, 32, 1024, 0.11262, 16
###1, 128, 128, 32, 1024, 0.139145, 32
###1, 128, 128, 32, 1024, 0.185011, 64
###1, 128, 128, 32, 1024, 0.281969, 128
###1, 128, 128, 32, 1024, 0.474827, 256
###1, 128, 128, 64, 32, 0.00756279, 1
###1, 128, 128, 64, 32, 0.00648785, 2
###1, 128, 128, 64, 32, 0.00591831, 4
###1, 128, 128, 64, 32, 0.00568767, 8
###1, 128, 128, 64, 32, 0.00612635, 16
###1, 128, 128, 64, 32, 0.00722066, 32
###1, 128, 128, 64, 32, 0.00922943, 64
###1, 128, 128, 64, 32, 0.0126427, 128
###1, 128, 128, 64, 32, 0.0194249, 256
###1, 128, 128, 64, 64, 0.0143197, 1
###1, 128, 128, 64, 64, 0.012335, 2
