    7       64      0.90      0.0599790
    8       64      0.90      0.0600060
    9       64      0.90      0.0600800
   10       64      0.90      0.0601960
    1       64      0.95      0.0772450
    2       64      0.95      0.0635140
    3       64      0.95      0.0631320
    4       64      0.95      0.0631960
    5       64      0.95      0.0633630
    6       64      0.95      0.0630450
    7       64      0.95      0.0633050
    8       64      0.95      0.0629450
    9       64      0.95      0.0632410
   10       64      0.95      0.0632660
    1       64      0.99      0.0807640
    2       64      0.99      0.0665320
    3       64      0.99      0.0664260
    4       64      0.99      0.0662840
    5       64      0.99      0.0664450
    6       64      0.99      0.0662980
    7       64      0.99      0.0677960
    8       64      0.99      0.0659440
    9       64      0.99      0.0663880
   10       64      0.99      0.0744930
    1       64      1.00      0.0826220
    2       64      1.00      0.0675170
    3       64      1.00      0.0673360
    4       64      1.00      0.0671750
    5       64      1.00      0.0671470
    6       64      1.00      0.0674000
    7       64      1.00      0.0671050
    8       64      1.00      0.0673100
    9       64      1.00      0.0672350
   10       64      1.00      0.0672680
    1      128      0.00      0.0083150
    2      128      0.00      0.0025840
    3      128      0.00      0.0023780
    4      128      0.00      0.0023270
    5      128      0.00      0.0022330
    6      128      0.00      0.0021770
    7      128      0.00      0.0021590
    8      128      0.00      0.0021650
    9      128      0.00      0.0022010
   10      128      0.00      0.0022400
    1      128      0.01      0.0049770
    2      128      0.01      0.0037640
    3      128      0.01      0.0034420
    4      128      0.01      0.0033690
    5      128      0.01      0.0033630
    6      128      0.01      0.0033330
    7      128      0.01      0.0033230
    8      128      0.01      0.0034910
    9      128      0.01      0.0034970
   10      128      0.01      0.0034400
    1      128      0.05      0.0109730
    2      128      0.05      0.0088620
    3      128      0.05      0.0085720
    4      128      0.05      0.0083920
    5      128      0.05      0.0086180
    6      128      0.05      0.0086640
    7      128      0.05      0.0085430
    8      128      0.05      0.0085310
    9      128      0.05      0.0085270
   10      128      0.05      0.0084540
    1      128      0.10      0.0183010
    2      128      0.10      0.0148330
    3      128      0.10      0.0146460
    4      128      0.10      0.0146680
    5      128      0.10      0.0147760
    6      128      0.10      0.0145590
    7      128      0.10      0.0146990
    8      128      0.10      0.0146670
    9      128      0.10      0.0147280
   10      128      0.10      0.0147030
    1      128      0.25      0.0434900
    2      128      0.25      0.0355620
    3      128      0.25      0.0352950
    4      128      0.25      0.0354070
    5      128      0.25      0.0354130
    6      128      0.25      0.0353300
    7      128      0.25      0.0353410
    8      128      0.25      0.0351210
    9      128      0.25      0.0353630
   10      128      0.25      0.0353890
    1      128      0.50      0.0834100
    2      128      0.50      0.0685620
    3      128      0.50      0.0682980
    4      128      0.50      0.0679750
    5      128      0.50      0.0680820
    6      128      0.50      0.0682620
    7      128      0.50      0.0682610
    8      128      0.50      0.0679810
    9      128      0.50      0.0681080
   10      128      0.50      0.0679450
    1      128      0.75      0.1231090
    2      128      0.75      0.1010710
    3      128      0.75      0.1007900
    4      128      0.75      0.1010410
    5      128      0.75      0.1011150
    6      128      0.75      0.1012000
    7      128      0.75      0.1005210
    8      128      0.75      0.1010220
    9      128      0.75      0.1008130
   10      128      0.75      0.1048930
    1      128      0.90      0.1627090
    2      128      0.90      0.1213450
    3      128      0.90      0.1206980
    4      128      0.90      0.1206040
    5      128      0.90      0.1206650
    6      128      0.90      0.1207090
    7      128      0.90      0.1204200
    8      128      0.90      0.1205230
    9      128      0.90      0.1203160
   10      128      0.90      0.1205290
    1      128      0.95      0.1542880
    2      128      0.95      0.1267960
    3      128      0.95      0.1267420
    4      128      0.95      0.1264770
