n,cores,Laplacian2D|JAX,Biharmonic2D|JAX
4096,1,0.12381947552785277,0.26462308992631733
4096,2,0.1235461754258722,0.26586358225904405
4096,3,0.08956907549872994,0.19405692326836288
4096,4,0.09199321083724499,0.19380986411124468
4096,5,0.0754716619849205,0.14586963434703648
4096,6,0.06747940392233431,0.1459852105472237
4096,7,0.06836388958618045,0.1473943991586566
4096,8,0.06868867800221778,0.1471077032474568
4096,9,0.05451390225061914,0.11669173875270644
4096,10,0.05495596199762076,0.11768742474669125
4096,11,0.055236285501450766,0.11545447500247974
4096,12,0.05379429625463672,0.1151462462512427
4096,13,0.055200773997057695,0.11982610350241885
4096,14,0.053928604247630574,0.11721845775173279
4096,15,0.05488359500304796,0.11940159674850293
4096,16,0.05695100699085742,0.1156927527335938
4096,17,0.05120094426092692,0.10059711275971495
4096,18,0.046919664746383205,0.10026882801321335
4096,19,0.04698980200191727,0.10128824700223049
4096,20,0.049436506000347435,0.10219616699032485
4096,21,0.05095951212570071,0.10106175672262907
4096,22,0.04677898324734997,0.10009236475161742
4096,23,0.048771887508337386,0.09954074749839492
4096,24,0.047464864008361474,0.10106211176025681
