solver,nprocs,topology,nx_global,ny_global,nx_local,ny_local,nt,run,walltime,steps_per_second,cell_updates_per_second
manual,16,1x16,32770,8194,32770,514,100,3,0.668066657,149.685662,4.019320e+10
manual,16,1x16,32770,8194,32770,514,100,4,0.669368167,149.394616,4.011505e+10
manual,16,1x16,32770,8194,32770,514,100,5,0.671016853,149.027554,4.001649e+10
manual,16,1x16,32770,8194,32770,514,100,6,0.669155816,149.442025,4.012778e+10
manual,16,1x16,32770,8194,32770,514,100,7,0.672400796,148.720823,3.993413e+10
manual,16,1x16,32770,8194,32770,514,100,8,0.670231274,149.202229,4.006339e+10
manual,16,1x16,32770,8194,32770,514,100,9,0.670450803,149.153375,4.005027e+10
manual,16,1x16,32770,8194,32770,514,100,10,0.670018340,149.249646,4.007612e+10
manual,16,1x16,32770,8194,32770,514,100,11,0.668926708,149.493209,4.014152e+10
manual,16,1x16,32770,8194,32770,514,100,12,0.667958564,149.709885,4.019971e+10
manual,16,1x16,32770,8194,32770,514,100,13,0.672966888,148.595721,3.990053e+10
manual,16,1x16,32770,8194,32770,514,100,14,0.669815878,149.294759,4.008824e+10
manual,16,1x16,32770,8194,32770,514,100,15,0.671537908,148.911921,3.998544e+10
