solver,nprocs,topology,nx_global,ny_global,nx_local,ny_local,iteration,kernel_walltime_seconds
manual_kernel,16,16x1,32770,8194,2050,8194,84,0.006061146
manual_kernel,16,16x1,32770,8194,2050,8194,85,0.006058935
manual_kernel,16,16x1,32770,8194,2050,8194,86,0.006084181
manual_kernel,16,16x1,32770,8194,2050,8194,87,0.006085396
manual_kernel,16,16x1,32770,8194,2050,8194,88,0.006057691
manual_kernel,16,16x1,32770,8194,2050,8194,89,0.006075639
manual_kernel,16,16x1,32770,8194,2050,8194,90,0.006499531
manual_kernel,16,16x1,32770,8194,2050,8194,91,0.006059227
manual_kernel,16,16x1,32770,8194,2050,8194,92,0.006069850
manual_kernel,16,16x1,32770,8194,2050,8194,93,0.006075098
manual_kernel,16,16x1,32770,8194,2050,8194,94,0.006099380
manual_kernel,16,16x1,32770,8194,2050,8194,95,0.006092404
manual_kernel,16,16x1,32770,8194,2050,8194,96,0.006057174
manual_kernel,16,16x1,32770,8194,2050,8194,97,0.006028795
manual_kernel,16,16x1,32770,8194,2050,8194,98,0.006027382
manual_kernel,16,16x1,32770,8194,2050,8194,99,0.006067158
manual_kernel,16,16x1,32770,8194,2050,8194,100,0.006467591
manual_kernel,16,16x1,32770,8194,2050,8194,101,0.006055734
manual_kernel,16,16x1,32770,8194,2050,8194,102,0.006030775
manual_kernel,16,16x1,32770,8194,2050,8194,103,0.006079322
manual_kernel,16,16x1,32770,8194,2050,8194,104,0.006092536
manual_kernel,16,16x1,32770,8194,2050,8194,105,0.006093209
manual_kernel,16,16x1,32770,8194,2050,8194,106,0.006184567
manual_kernel,16,16x1,32770,8194,2050,8194,107,0.006180214
manual_kernel,16,16x1,32770,8194,2050,8194,108,0.006181079
manual_kernel,16,16x1,32770,8194,2050,8194,109,0.006112950
manual_kernel,16,16x1,32770,8194,2050,8194,110,0.006477133
manual_kernel,16,16x1,32770,8194,2050,8194,111,0.006118072
manual_kernel,16,16x1,32770,8194,2050,8194,112,0.006088985
manual_kernel,16,16x1,32770,8194,2050,8194,113,0.006095224
manual_kernel,16,16x1,32770,8194,2050,8194,114,0.006067098
manual_kernel,16,16x1,32770,8194,2050,8194,115,0.006048635
manual_kernel,16,16x1,32770,8194,2050,8194,116,0.006070938
manual_kernel,16,16x1,32770,8194,2050,8194,117,0.006061817
manual_kernel,16,16x1,32770,8194,2050,8194,118,0.006084858
manual_kernel,16,16x1,32770,8194,2050,8194,119,0.006075001
manual_kernel,16,16x1,32770,8194,2050,8194,120,0.006485644
manual_kernel,16,16x1,32770,8194,2050,8194,121,0.006084122
manual_kernel,16,16x1,32770,8194,2050,8194,122,0.006076856
manual_kernel,16,16x1,32770,8194,2050,8194,123,0.006060155
manual_kernel,16,16x1,32770,8194,2050,8194,124,0.006063291
manual_kernel,16,16x1,32770,8194,2050,8194,125,0.006030011
manual_kernel,16,16x1,32770,8194,2050,8194,126,0.006057622
manual_kernel,16,16x1,32770,8194,2050,8194,127,0.006093685
manual_kernel,16,16x1,32770,8194,2050,8194,128,0.006096917
manual_kernel,16,16x1,32770,8194,2050,8194,129,0.006034583
manual_kernel,16,16x1,32770,8194,2050,8194,130,0.006456297
manual_kernel,16,16x1,32770,8194,2050,8194,131,0.006074009
manual_kernel,16,16x1,32770,8194,2050,8194,132,0.006054043
manual_kernel,16,16x1,32770,8194,2050,8194,133,0.006061819
manual_kernel,16,16x1,32770,8194,2050,8194,134,0.006050362
manual_kernel,16,16x1,32770,8194,2050,8194,135,0.006065467
manual_kernel,16,16x1,32770,8194,2050,8194,136,0.006135923
manual_kernel,16,16x1,32770,8194,2050,8194,137,0.006143572
manual_kernel,16,16x1,32770,8194,2050,8194,138,0.006085864
manual_kernel,16,16x1,32770,8194,2050,8194,139,0.006055962
manual_kernel,16,16x1,32770,8194,2050,8194,140,0.006457486
manual_kernel,16,16x1,32770,8194,2050,8194,141,0.006097333
